15
100001
25 10413
6741 75109
200002
57018 178401
114104 34703
300003
291484 14
41298 414
400004
149414 319284
90481 23871
500005
4213 84301
120847 478941
600006
241747 124484
472144 147182
700007
417144 647174
1 1
800008
2 2
620034 723034
900009
898257 745
798 143245
1000001
958395 438240
347304 584717
2000002
837404 1978970
1232553 705104
5000005
3472138 5000002
2308743 1082
10000000
3434891 2470803
7057109 6748724
10000000
2151783 2962804
7294203 7156800
10000000
9999998 9999998
1 1
